id,Year,Month,Day,Hour,Minute,Temperature.daily.mean..2.m.above.gnd.,Relative.Humidity.daily.mean..2.m.above.gnd.,Mean.Sea.Level.Pressure.daily.mean..MSL.,Total.Precipitation.daily.sum..sfc.,Snowfall.amount.raw.daily.sum..sfc.,Total.Cloud.Cover.daily.mean..sfc.,High.Cloud.Cover.daily.mean..high.cld.lay.,Medium.Cloud.Cover.daily.mean..mid.cld.lay.,Low.Cloud.Cover.daily.mean..low.cld.lay.,Sunshine.Duration.daily.sum..sfc.,Shortwave.Radiation.daily.sum..sfc.,Wind.Speed.daily.mean..10.m.above.gnd.,Wind.Direction.daily.mean..10.m.above.gnd.,Wind.Speed.daily.mean..80.m.above.gnd.,Wind.Direction.daily.mean..80.m.above.gnd.,Wind.Speed.daily.mean..900.mb.,Wind.Direction.daily.mean..900.mb.,Wind.Gust.daily.mean..sfc.,Temperature.daily.max..2.m.above.gnd.,Temperature.daily.min..2.m.above.gnd.,Relative.Humidity.daily.max..2.m.above.gnd.,Relative.Humidity.daily.min..2.m.above.gnd.,Mean.Sea.Level.Pressure.daily.max..MSL.,Mean.Sea.Level.Pressure.daily.min..MSL.,Total.Cloud.Cover.daily.max..sfc.,Total.Cloud.Cover.daily.min..sfc.,High.Cloud.Cover.daily.max..high.cld.lay.,High.Cloud.Cover.daily.min..high.cld.lay.,Medium.Cloud.Cover.daily.max..mid.cld.lay.,Medium.Cloud.Cover.daily.min..mid.cld.lay.,Low.Cloud.Cover.daily.max..low.cld.lay.,Low.Cloud.Cover.daily.min..low.cld.lay.,Wind.Speed.daily.max..10.m.above.gnd.,Wind.Speed.daily.min..10.m.above.gnd.,Wind.Speed.daily.max..80.m.above.gnd.,Wind.Speed.daily.min..80.m.above.gnd.,Wind.Speed.daily.max..900.mb.,Wind.Speed.daily.min..900.mb.,Wind.Gust.daily.max..sfc.,Wind.Gust.daily.min..sfc.,pluie.demain
2,2010,6,2,0,0,14.99,76.46,1014.99,1,0,79.79,3,31.58,79.21,287.23,6709.71,11.64,274.72,14.99,267.89,20.6,180.4,14.88,18.49,11.11,94,59,1016.6,1013.9,100,0,16,0,100,0,100,0,22.01,5.62,23.8,8.65,32.06,12.25,25.2,6.48,FALSE
4,2010,6,4,0,0,17.31,77.62,1017.26,0,0,4.7,0.67,0,4.5,821.4,7974.4,6.34,229.69,8.92,199.23,27.87,93.72,9.48,24.98,10.45,92,54,1018.7,1015.9,28,0,11,0,0,0,28,0,15.52,1.08,18.73,0,48.11,6.62,20.16,2.16,FALSE
6,2010,6,6,0,0,21.62,69.5,1014.59,3.7,0,42.09,21.21,25.92,35.29,441.32,4833.59,8.4,214.62,10.38,207.8,18.88,250.08,13.5,26.25,17.69,91,57,1015.7,1012.6,100,0,100,0,100,0,100,0,22.71,2.41,32.04,0.51,44.01,5.48,41.76,1.08,TRUE
8,2010,6,8,0,0,20.22,75.08,1007.74,0.2,0,67.45,54.71,65.79,18.92,41.91,5389.84,5.4,204.97,6.53,205.83,10.44,238.57,5.31,24.17,14.68,89,62,1010.2,1005.6,100,0,100,0,100,0,100,0,10.7,0,10.23,1.44,22.18,4.69,11.16,0.36,TRUE
10,2010,6,10,0,0,22.64,73.46,1003.81,0,0,56.32,50.25,55.33,34.21,473.23,7216.12,9.16,179.23,11.91,185.71,21.89,152.96,12.21,30.72,16.92,97,39,1005.7,1001.4,100,0,100,0,100,0,100,0,20.46,2.52,23.4,2.97,40.79,4.68,24.12,1.44,TRUE
12,2010,6,12,0,0,18.44,76.83,1012,2.2,0,68.85,1.67,5.25,67.92,217.22,3590.26,8.04,219.8,10.85,224.74,20.21,263.24,13.69,22.04,14.31,92,65,1013.5,1010.4,100,0,28,0,100,0,100,0,19.35,2.28,25.52,3.1,45.08,5.5,40.68,3.96,TRUE
14,2010,6,14,0,0,16.8,81.25,1012.91,1.8,0,75.75,15.25,46.96,70.54,139.82,4699.2,4.69,239.75,5.76,244.86,11.48,227.31,5.62,19.18,14.21,96,69,1014.2,1011.6,100,0,100,0,100,0,100,0,15.08,1.3,15.78,0.72,21.29,3.6,14.4,0.72,TRUE
16,2010,6,16,0,0,16.61,81.58,1011.99,1.8,0,100,75.54,82.5,96.17,0,4557.69,14.19,139.42,16.04,113.92,39.5,80.39,22.05,20.3,13.13,96,64,1014.7,1009.7,100,100,100,0,100,0,100,29,28.31,4.32,30.5,5.05,45.46,31.49,40.68,6.12,TRUE
18,2010,6,18,0,0,15.67,84.92,1012.46,17.5,0,72.79,30.29,68.29,65.75,302.26,4175.88,15.36,267.7,19.64,269.37,26.12,292.36,26.93,18.72,12.97,97,74,1014,1011.2,100,0,100,0,100,0,100,0,21.25,7.2,29.24,12.54,57.61,10.85,48.6,11.88,TRUE
20,2010,6,20,0,0,11.68,74.62,1011.35,1.2,0,74.33,1.38,5.58,74.33,362.55,7250.83,18.36,160.36,23.74,163.87,32.27,17.37,27.27,14.92,7.04,95,61,1014.7,1009.6,100,0,24,0,41,0,100,0,27.87,8.05,31.17,15.75,36.58,25.6,33.84,10.8,TRUE
22,2010,6,22,0,0,13.73,74.88,1021.4,0,0,41.75,0.17,0,41.75,597.16,5474.39,7.41,118.97,9.54,114.21,17.5,62.97,8.44,18.59,8.01,93,55,1022.3,1020.6,100,0,4,0,0,0,100,0,12.9,1.14,15.65,3.42,23.77,11.54,15.48,1.08,FALSE
24,2010,6,24,0,0,17.99,69.54,1018.14,0,0,3.94,1.33,0,3.54,917.6,8010,4.23,220.98,4.91,241.1,13.69,70.39,5.35,23.18,10.33,94,56,1020.2,1015.2,10,0,11,0,0,0,10,0,6.64,0.72,11.57,0.36,25.21,1.14,7.56,1.44,FALSE
26,2010,6,26,0,0,21.05,71,1014.2,0,0,7.23,19.79,0,4.04,879.49,7880.06,4.39,236.97,4.72,226.91,11.3,79.51,5.82,25.6,14.54,94,54,1015.3,1012.9,17,0,34,0,0,0,17,0,9.89,0.72,9.93,0.72,19.08,5.4,10.44,0.72,FALSE
28,2010,6,28,0,0,23.19,67.38,1017.7,0.3,0,6.73,3,0.42,5.83,907.99,7987.75,4.03,149.54,3.7,173.06,7.71,57.15,5.25,27.48,18,81,52,1018.9,1016.8,100,0,17,0,10,0,100,0,7.77,0.36,7.34,0,13.85,3.4,8.64,1.08,TRUE
30,2010,6,30,0,0,23.01,67.42,1018.55,0,0,6.22,15.33,0,2.5,884.81,7811.53,7.53,299.09,8.01,305,10.2,59.8,8.92,27.06,18.07,90,52,1020.2,1017.2,10,0,29,0,0,0,10,0,14.08,3.22,14.8,2.19,16.3,3.76,14.76,3.96,FALSE
32,2010,7,2,0,0,25.11,63.17,1015,0,0,9.9,24.92,0.42,4.17,870.6,7767.92,3.94,164.54,4.64,165.67,7.51,223.3,4.05,29.57,19.29,83,50,1015.8,1014.3,30,0,100,0,10,0,10,0,6.62,0.36,9.69,0.36,12.96,2.81,6.48,0.36,TRUE
34,2010,7,4,0,0,21.73,83.92,1020.15,4.2,0,48.4,9.58,42.96,27.33,380.91,4134.94,4.09,243.55,5.27,263.12,6.97,275.22,5.31,23.17,19.26,93,75,1021.9,1018.6,100,0,100,0,100,0,100,0,10.83,0.8,12.92,0.36,12.18,1.84,14.4,0.72,TRUE
38,2010,7,8,0,0,22.22,60.04,1019.61,0,0,7.3,10.46,6.25,0,843.32,8093.66,8.55,121.68,13.77,118.35,13.73,172.61,12.03,28.36,15.77,75,44,1020.9,1018.2,100,0,100,0,100,0,0,0,14.92,0.8,29.35,0.51,26.11,4.1,25.2,1.08,FALSE
40,2010,7,10,0,0,26.59,59.12,1018.23,1.8,0,24.3,5.17,23.38,0.21,551.62,7046.13,5.76,234.21,8.74,226.19,11.78,184.78,8.93,31.44,22.43,74,50,1019.9,1016.3,100,0,50,0,100,0,5,0,16.95,0.8,26.41,0,24.82,2.16,33.48,0.36,TRUE
42,2010,7,12,0,0,25.03,70.29,1013.59,0.3,0,25.58,22.38,20.83,16.08,651.36,6835.2,9.61,187.1,14.71,186.31,11.02,193.6,10.57,31.9,19.92,90,45,1016.4,1010.1,100,0,100,0,100,0,100,0,31.91,1.8,40.9,1.3,48.36,3.08,44.64,1.8,TRUE
